Year,Country of Residence,Month,Arrivals,Month_Num,Date
2008,SOUTH AFRICA,February,193.0,2,2008-02-01
2008,SPAIN,February,815.0,2,2008-02-01
2008,SRI LANKA,February,202.0,2,2008-02-01
2008,SWEDEN,February,1805.0,2,2008-02-01
2008,SWITZERLAND,February,1722.0,2,2008-02-01
2008,TAIWAN,February,13148.0,2,2008-02-01
2008,THAILAND,February,2446.0,2,2008-02-01
2008,UNITED ARAB EMIRATES,February,718.0,2,2008-02-01
2008,UNITED KINGDOM,February,6340.0,2,2008-02-01
2008,USA,February,50372.0,2,2008-02-01
2008,VENEZUELA,February,16.0,2,2008-02-01
2008,VIETNAM,February,823.0,2,2008-02-01
2008,ARGENTINA,March,54.0,3,2008-03-01
2008,AUSTRALIA,March,10857.0,3,2008-03-01
2008,AUSTRIA,March,990.0,3,2008-03-01
2008,BAHRAIN,March,200.0,3,2008-03-01
2008,BANGLADESH,March,162.0,3,2008-03-01
2008,BELGIUM,March,1222.0,3,2008-03-01
2008,BRAZIL,March,140.0,3,2008-03-01
2008,BRUNEI,March,311.0,3,2008-03-01
2008,CAMBODIA,March,129.0,3,2008-03-01
2008,CANADA,March,10545.0,3,2008-03-01
2008,CHINA,March,12482.0,3,2008-03-01
2008,COLOMBIA,March,57.0,3,2008-03-01
2008,DENMARK,March,1231.0,3,2008-03-01
2008,EGYPT,March,51.0,3,2008-03-01
2008,FINLAND,March,290.0,3,2008-03-01
2008,FRANCE,March,2241.0,3,2008-03-01
2008,GERMANY,March,6244.0,3,2008-03-01
2008,GREECE,March,163.0,3,2008-03-01
2008,GUAM,March,3443.0,3,2008-03-01
2008,INDIA,March,2796.0,3,2008-03-01
2008,INDONESIA,March,2326.0,3,2008-03-01
2008,IRAN,March,159.0,3,2008-03-01
2008,IRELAND,March,471.0,3,2008-03-01
2008,ISRAEL,March,325.0,3,2008-03-01
2008,ITALY,March,1523.0,3,2008-03-01
2008,JAPAN,March,33552.0,3,2008-03-01
2008,JORDAN,March,39.0,3,2008-03-01
2008,KOREA,March,48793.0,3,2008-03-01
2008,KUWAIT,March,263.0,3,2008-03-01
2008,LAOS,March,70.0,3,2008-03-01
2008,LUXEMBOURG,March,65.0,3,2008-03-01
2008,MALAYSIA,March,5824.0,3,2008-03-01
2008,MEXICO,March,160.0,3,2008-03-01
2008,MYANMAR,March,415.0,3,2008-03-01
2008,NEPAL,March,75.0,3,2008-03-01
2008,NETHERLANDS,March,1496.0,3,2008-03-01
2008,NEW ZEALAND,March,811.0,3,2008-03-01
2008,NIGERIA,March,50.0,3,2008-03-01
2008,NORWAY,March,1432.0,3,2008-03-01
2008,Others,March,14955.0,3,2008-03-01
2008,PAKISTAN,March,187.0,3,2008-03-01
2008,PAPUA NEW GUINEA,March,91.0,3,2008-03-01
