Date,Arrivals,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
2015-09-01,383156,False,False,False,False,False,False,False,False,False,False,False,True
2015-10-01,397267,False,False,False,False,False,False,False,False,False,False,True,False
2015-11-01,399475,False,False,False,False,False,False,False,False,False,True,False,False
2015-12-01,522855,False,False,True,False,False,False,False,False,False,False,False,False
2016-01-01,525832,False,False,False,False,True,False,False,False,False,False,False,False
2016-02-01,537194,False,False,False,True,False,False,False,False,False,False,False,False
2016-03-01,485892,False,False,False,False,False,False,False,True,False,False,False,False
2016-04-01,452396,True,False,False,False,False,False,False,False,False,False,False,False
2016-05-01,427934,False,False,False,False,False,False,False,False,True,False,False,False
2016-06-01,444043,False,False,False,False,False,False,True,False,False,False,False,False
2016-07-01,541298,False,False,False,False,False,True,False,False,False,False,False,False
2016-08-01,490190,False,True,False,False,False,False,False,False,False,False,False,False
2016-09-01,414202,False,False,False,False,False,False,False,False,False,False,False,True
2016-10-01,432157,False,False,False,False,False,False,False,False,False,False,True,False
2016-11-01,472258,False,False,False,False,False,False,False,False,False,True,False,False
2016-12-01,553186,False,False,True,False,False,False,False,False,False,False,False,False
2017-01-01,620121,False,False,False,False,True,False,False,False,False,False,False,False
2017-02-01,569361,False,False,False,True,False,False,False,False,False,False,False,False
2017-03-01,556906,False,False,False,False,False,False,False,True,False,False,False,False
2017-04-01,551497,True,False,False,False,False,False,False,False,False,False,False,False
2017-05-01,520780,False,False,False,False,False,False,False,False,True,False,False,False
2017-06-01,462729,False,False,False,False,False,False,True,False,False,False,False,False
2017-07-01,551638,False,False,False,False,False,True,False,False,False,False,False,False
2017-08-01,535076,False,True,False,False,False,False,False,False,False,False,False,False
2017-09-01,472766,False,False,False,False,False,False,False,False,False,False,False,True
2017-10-01,513638,False,False,False,False,False,False,False,False,False,False,True,False
2017-11-01,522723,False,False,False,False,False,False,False,False,False,True,False,False
2017-12-01,603062,False,False,True,False,False,False,False,False,False,False,False,False
2018-01-01,724586,False,False,False,False,True,False,False,False,False,False,False,False
2018-02-01,669640,False,False,False,True,False,False,False,False,False,False,False,False
2018-03-01,635485,False,False,False,False,False,False,False,True,False,False,False,False
2018-04-01,583996,True,False,False,False,False,False,False,False,False,False,False,False
2018-05-01,531175,False,False,False,False,False,False,False,False,True,False,False,False
2018-06-01,524765,False,False,False,False,False,False,True,False,False,False,False,False
2018-07-01,602112,False,False,False,False,False,True,False,False,False,False,False,False
2018-08-01,546785,False,True,False,False,False,False,False,False,False,False,False,False
2018-09-01,514174,False,False,False,False,False,False,False,False,False,False,False,True
2018-10-01,518920,False,False,False,False,False,False,False,False,False,False,True,False
2018-11-01,559468,False,False,False,False,False,False,False,False,False,True,False,False
2018-12-01,685488,False,False,True,False,False,False,False,False,False,False,False,False
2019-01-01,718118,False,False,False,False,True,False,False,False,False,False,False,False
2019-02-01,762437,False,False,False,True,False,False,False,False,False,False,False,False
2019-03-01,709399,False,False,False,False,False,False,False,True,False,False,False,False
2019-04-01,653336,True,False,False,False,False,False,False,False,False,False,False,False
2019-05-01,612861,False,False,False,False,False,False,False,False,True,False,False,False
2019-06-01,638440,False,False,False,False,False,False,True,False,False,False,False,False
2019-07-01,712285,False,False,False,False,False,True,False,False,False,False,False,False
2019-08-01,699933,False,True,False,False,False,False,False,False,False,False,False,False
2019-09-01,604552,False,False,False,False,False,False,False,False,False,False,False,True
2019-10-01,634786,False,False,False,False,False,False,False,False,False,False,True,False
2019-11-01,679273,False,False,False,False,False,False,False,False,False,True,False,False
2019-12-01,763057,False,False,True,False,False,False,False,False,False,False,False,False
2020-01-01,782132,False,False,False,False,True,False,False,False,False,False,False,False
2020-02-01,439852,False,False,False,True,False,False,False,False,False,False,False,False
2020-03-01,127721,False,False,False,False,False,False,False,True,False,False,False,False
2020-04-01,927,True,False,False,False,False,False,False,False,False,False,False,False
2020-05-01,357,False,False,False,False,False,False,False,False,True,False,False,False
2020-06-01,1186,False,False,False,False,False,False,True,False,False,False,False,False
2020-07-01,3380,False,False,False,False,False,True,False,False,False,False,False,False
2020-08-01,5364,False,True,False,False,False,False,False,False,False,False,False,False
2020-09-01,6410,False,False,False,False,False,False,False,False,False,False,False,True
2020-10-01,8304,False,False,False,False,False,False,False,False,False,False,True,False
2020-11-01,9069,False,False,False,False,False,False,False,False,False,True,False,False
2020-12-01,13753,False,False,True,False,False,False,False,False,False,False,False,False
2021-01-01,6109,False,False,False,False,True,False,False,False,False,False,False,False
2021-02-01,9005,False,False,False,True,False,False,False,False,False,False,False,False
2021-03-01,10446,False,False,False,False,False,False,False,True,False,False,False,False
2021-04-01,5098,True,False,False,False,False,False,False,False,False,False,False,False
2021-05-01,9153,False,False,False,False,False,False,False,False,True,False,False,False
2021-06-01,10281,False,False,False,False,False,False,True,False,False,False,False,False
2021-07-01,11794,False,False,False,False,False,True,False,False,False,False,False,False
2021-08-01,13132,False,True,False,False,False,False,False,False,False,False,False,False
2021-09-01,13891,False,False,False,False,False,False,False,False,False,False,False,True
2021-10-01,15656,False,False,False,False,False,False,False,False,False,False,True,False
2021-11-01,18836,False,False,False,False,False,False,False,False,False,True,False,False
2021-12-01,22697,False,False,True,False,False,False,False,False,False,False,False,False
2022-01-01,0,False,False,False,False,True,False,False,False,False,False,False,False
2022-02-01,26306,False,False,False,True,False,False,False,False,False,False,False,False
2022-03-01,69635,False,False,False,False,False,False,False,True,False,False,False,False
2022-04-01,115514,True,False,False,False,False,False,False,False,False,False,False,False
2022-05-01,124933,False,False,False,False,False,False,False,False,True,False,False,False
2022-06-01,153497,False,False,False,False,False,False,True,False,False,False,False,False
2022-07-01,232315,False,False,False,False,False,True,False,False,False,False,False,False
2022-08-01,218048,False,True,False,False,False,False,False,False,False,False,False,False
2022-09-01,207219,False,False,False,False,False,False,False,False,False,False,False,True
2022-10-01,227669,False,False,False,False,False,False,False,False,False,False,True,False
2022-11-01,275904,False,False,False,False,False,False,False,False,False,True,False,False
2022-12-01,374345,False,False,True,False,False,False,False,False,False,False,False,False
2023-01-01,425188,False,False,False,False,True,False,False,False,False,False,False,False
2023-02-01,431695,False,False,False,True,False,False,False,False,False,False,False,False
2023-03-01,436292,False,False,False,False,False,False,False,True,False,False,False,False
2023-04-01,417320,True,False,False,False,False,False,False,False,False,False,False,False
2023-05-01,353093,False,False,False,False,False,False,False,False,True,False,False,False
2023-06-01,407210,False,False,False,False,False,False,True,False,False,False,False,False
2023-07-01,467919,False,False,False,False,False,True,False,False,False,False,False,False
2023-08-01,404029,False,True,False,False,False,False,False,False,False,False,False,False
2023-09-01,356300,False,False,False,False,False,False,False,False,False,False,False,True
2023-10-01,378123,False,False,False,False,False,False,False,False,False,False,True,False
2023-11-01,411890,False,False,False,False,False,False,False,False,False,True,False,False
2023-12-01,514416,False,False,True,False,False,False,False,False,False,False,False,False
2024-01-01,542066,False,False,False,False,True,False,False,False,False,False,False,False
2024-02-01,551217,False,False,False,True,False,False,False,False,False,False,False,False
2024-03-01,474943,False,False,False,False,False,False,False,True,False,False,False,False
